                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4095,                 2.8755,                  1.754,                0.78598,                0.66667,                0.90277,                0.59576,                 1.5223,                 1.2406,                 1.3161,                      0,                      0,                      0
                      2,                   1.32,                 2.7091,                 1.5426,                0.78307,                0.66667,                0.90367,                 0.6125,                 1.5392,                 1.2358,                 1.3212,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.1225,                 3.3266,                 1.4657,                 0.7846,                0.66667,                0.90386,                0.60425,                 1.5553,                 1.2414,                 1.3306,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.3564,                 2.7854,                 1.4805,                0.80209,                0.68322,                 0.9268,                0.63944,                 1.5774,                 1.2439,                 1.3411,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.5683,                 3.2547,                  1.726,                0.78294,                0.66667,                0.89991,                0.63683,                 1.5902,                 1.2403,                 1.3486,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.7821,                  4.316,                 2.0955,                0.76952,                0.66667,                0.90053,                0.61163,                 1.5997,                 1.2538,                 1.3543,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.2987,                 2.2341,                 1.4991,                 0.7721,                0.66667,                0.90063,                0.59469,                 1.6135,                 1.2605,                 1.3617,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.4651,                 2.9557,                 1.7024,                0.77268,                0.66667,                0.90084,                0.59323,                  1.625,                 1.2646,                 1.3687,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.1616,                 2.8745,                 1.4836,                0.75279,                0.66667,                 0.9021,                0.59381,                 1.6377,                 1.2653,                 1.3734,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.3987,                 3.5759,                 1.8145,                0.73522,                0.66667,                0.90315,                0.57705,                 1.6412,                 1.2852,                   1.38,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.5545,                 3.1475,                 1.7049,                0.66375,                 0.7579,                0.93082,                0.60498,                 1.6504,                  1.295,                  1.387,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                  0.954,                 1.9056,                 1.4302,                0.66281,                0.75779,                0.93108,                0.60219,                 1.6746,                 1.3024,                 1.3979,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 1.1302,                 2.6467,                 1.3501,                0.65741,                0.75485,                0.93091,                0.60219,                 1.6843,                 1.3169,                 1.4019,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.2802,                 2.7989,                 1.7037,                 0.6605,                 0.7468,                0.93108,                0.62165,                 1.6866,                 1.3366,                 1.4076,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.87319,                 1.5149,                 1.1312,                0.66574,                0.74226,                0.93149,                0.62198,                 1.6938,                 1.3469,                 1.4074,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.2265,                 2.7711,                 1.6031,                0.59609,                0.92602,                0.93148,                0.62228,                 1.7029,                 1.3699,                  1.414,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.88271,                 2.2133,                 1.2067,                0.61068,                0.91163,                0.93128,                0.62228,                 1.7153,                 1.3831,                  1.417,             1.6024e-05,             1.6024e-05,             1.6024e-05
